dbname	private
fiu_vrowiki	0
fiwiki	0
fiwikibooks	0
fiwikimedia	0
fiwikinews	0
fiwikiquote	0
fiwikisource	0
fiwikiversity	0
fiwikivoyage	0
fiwiktionary	0
fjwiki	0
fjwiktionary	0
foundationwiki	0
fowiki	0
fowikisource	0
fowiktionary	0
frpwiki	0
frrwiki	0
frwiki	0
frwikibooks	0
frwikinews	0
frwikiquote	0
frwikisource	0
frwikiversity	0
frwikivoyage	0
frwiktionary	0
furwiki	0
fywiki	0
fywikibooks	0
fywiktionary	0
gagwiki	0
ganwiki	0
gawiki	0
gawikibooks	0
gawikiquote	0
gawiktionary	0
gdwiki	0
gdwiktionary	0
glkwiki	0
glwiki	0
glwikibooks	0
glwikiquote	0
glwikisource	0
glwiktionary	0
gnwiki	0
gnwikibooks	0
gnwiktionary	0
gomwiki	0
gotwiki	0
gotwikibooks	0
grantswiki	1
guwiki	0
guwikibooks	0
guwikiquote	0
guwikisource	0
guwiktionary	0
gvwiki	0
gvwiktionary	0
hakwiki	0
hawiki	0
hawiktionary	0
hawwiki	0
hewiki	0
hewikibooks	0
hewikinews	0
hewikiquote	0
hewikisource	0
hewikivoyage	0
hewiktionary	0
hifwiki	0
hiwiki	0
hiwikibooks	0
hiwikiquote	0
hiwiktionary	0
howiki	0
hrwiki	0
hrwikibooks	0
hrwikiquote	0
hrwikisource	0
hrwiktionary	0
hsbwiki	0
hsbwiktionary	0
htwiki	0
htwikisource	0
huwiki	0
huwikibooks	0
huwikinews	0
huwikiquote	0
huwikisource	0
huwiktionary	0
hywiki	0
hywikibooks	0
hywikiquote	0
hywikisource	0
hywiktionary	0
hzwiki	0
iawiki	0
iawikibooks	0
iawiktionary	0
idwiki	0
idwikibooks	0
idwikiquote	0
idwikisource	0
idwiktionary	0
iegcomwiki	1
iewiki	0
iewikibooks	0
iewiktionary	0
igwiki	0
iiwiki	0
ikwiki	0
ikwiktionary	0
ilowiki	0
ilwikimedia	1
incubatorwiki	0
internalwiki	1
iowiki	0
iowiktionary	0
iswiki	0
iswikibooks	0
iswikiquote	0
iswikisource	0
iswiktionary	0
itwiki	0
itwikibooks	0
itwikinews	0
itwikiquote	0
itwikisource	0
itwikiversity	0
itwikivoyage	0
itwiktionary	0
iuwiki	0
iuwiktionary	0
jamwiki	0
jawiki	0
jawikibooks	0
jawikinews	0
jawikiquote	0
jawikisource	0
jawikiversity	0
jawiktionary	0
jbowiki	0
jbowiktionary	0
jvwiki	0
jvwiktionary	0
kaawiki	0
kabwiki	0
kawiki	0
kawikibooks	0
kawikiquote	0
kawiktionary	0
kbdwiki	0
kgwiki	0
kiwiki	0
kjwiki	0
kkwiki	0
kkwikibooks	0
kkwikiquote	0
kkwiktionary	0
klwiki	0
klwiktionary	0
kmwiki	0
kmwikibooks	0
kmwiktionary	0
knwiki	0
knwikibooks	0
knwikiquote	0
knwikisource	0
knwiktionary	0
koiwiki	0
kowiki	0
kowikibooks	0
kowikinews	0
kowikiquote	0
kowikisource	0
kowikiversity	0
kowiktionary	0
krcwiki	0
krwiki	0
krwikiquote	0
kshwiki	0
kswiki	0
kswikibooks	0
kswikiquote	0
kswiktionary	0
kuwiki	0
kuwikibooks	0
kuwikiquote	0
kuwiktionary	0
kvwiki	0
kwwiki	0
kwwikiquote	0
kwwiktionary	0
kywiki	0
kywikibooks	0
kywikiquote	0
kywiktionary	0
ladwiki	0
lawiki	0
lawikibooks	0
lawikiquote	0
lawikisource	0
lawiktionary	0
lbewiki	0
lbwiki	0
lbwikibooks	0
lbwikiquote	0
lbwiktionary	0
legalteamwiki	1
lezwiki	0
lgwiki	0
lijwiki	0
liwiki	0
liwikibooks	0
liwikiquote	0
liwikisource	0
liwiktionary	0
lmowiki	0
lnwiki	0
lnwikibooks	0
lnwiktionary	0
loginwiki	0
lowiki	0
lowiktionary	0
lrcwiki	0
ltgwiki	0
ltwiki	0
ltwikibooks	0
ltwikiquote	0
ltwikisource	0
ltwiktionary	0
lvwiki	0
lvwikibooks	0
lvwiktionary	0
maiwiki	0
map_bmswiki	0
mdfwiki	0
mediawikiwiki	0
metawiki	0
mgwiki	0
mgwikibooks	0
mgwiktionary	0
mhrwiki	0
mhwiki	0
mhwiktionary	0
minwiki	0
miwiki	0
miwikibooks	0
miwiktionary	0
mkwiki	0
mkwikibooks	0
mkwikimedia	0
mkwikisource	0
mkwiktionary	0
mlwiki	0
mlwikibooks	0
mlwikiquote	0
mlwikisource	0
mlwiktionary	0
mnwiki	0
mnwikibooks	0
mnwiktionary	0
movementroleswiki	1
mowiki	0
mowiktionary	0
mrjwiki	0
mrwiki	0
mrwikibooks	0
mrwikiquote	0
mrwikisource	0
mrwiktionary	0
mswiki	0
mswikibooks	0
mswiktionary	0
mtwiki	0
mtwiktionary	0
muswiki	0
mwlwiki	0
mxwikimedia	0
myvwiki	0
mywiki	0
mywikibooks	0
mywiktionary	0
mznwiki	0
nahwiki	0
nahwikibooks	0
nahwiktionary	0
napwiki	0
nawiki	0
nawikibooks	0
nawikiquote	0
nawiktionary	0
nds_nlwiki	0
ndswiki	0
ndswikibooks	0
ndswikiquote	0
ndswiktionary	0
newiki	0
newikibooks	0
newiktionary	0
newwiki	0
ngwiki	0
nlwiki	0
nlwikibooks	0
nlwikimedia	0
nlwikinews	0
nlwikiquote	0
nlwikisource	0
nlwikivoyage	0
nlwiktionary	0
nnwiki	0
nnwikiquote	0
nnwiktionary	0
noboard_chapterswikimedia	1
nostalgiawiki	0
novwiki	0
nowiki	0
nowikibooks	0
nowikimedia	0
nowikinews	0
nowikiquote	0
nowikisource	0
nowiktionary	0
nrmwiki	0
nsowiki	0
nvwiki	0
nycwikimedia	0
nywiki	0
nzwikimedia	0
ocwiki	0
ocwikibooks	0
ocwiktionary	0
officewiki	1
olowiki	0
ombudsmenwiki	1
omwiki	0
omwiktionary	0
orwiki	0
orwikisource	0
orwiktionary	0
oswiki	0
otrs_wikiwiki	1
outreachwiki	0
pa_uswikimedia	0
pagwiki	0
pamwiki	0
papwiki	0
pawiki	0
pawikibooks	0
pawiktionary	0
pcdwiki	0
pdcwiki	0
pflwiki	0
pihwiki	0
piwiki	0
piwiktionary	0
plwiki	0
plwikibooks	0
plwikimedia	0
plwikinews	0
plwikiquote	0
plwikisource	0
plwikivoyage	0
plwiktionary	0
pmswiki	0
pnbwiki	0
pnbwiktionary	0
pntwiki	0
projectcomwiki	1
pswiki	0
pswikibooks	0
pswiktionary	0
ptwiki	0
ptwikibooks	0
ptwikinews	0
ptwikiquote	0
ptwikisource	0
ptwikiversity	0
ptwikivoyage	0
ptwiktionary	0
qualitywiki	0
quwiki	0
quwikibooks	0
quwikiquote	0
quwiktionary	0
rmwiki	0
rmwikibooks	0
rmwiktionary	0
rmywiki	0
rnwiki	0
rnwiktionary	0
roa_rupwiki	0
roa_rupwiktionary	0
roa_tarawiki	0
rowiki	0
rowikibooks	0
rowikinews	0
rowikiquote	0
rowikisource	0
rowikivoyage	0
rowiktionary	0
rswikimedia	0
ruewiki	0
ruwiki	0
ruwikibooks	0
ruwikimedia	0
ruwikinews	0
ruwikiquote	0
ruwikisource	0
ruwikiversity	0
ruwikivoyage	0
ruwiktionary	0
rwwiki	0
rwwiktionary	0
sahwiki	0
sahwikisource	0
sawiki	0
sawikibooks	0
sawikiquote	0
sawikisource	0
sawiktionary	0
scnwiki	0
scnwiktionary	0
scowiki	0
scwiki	0
scwiktionary	0
sdwiki	0
sdwikinews	0
sdwiktionary	0
searchcomwiki	1
sewiki	0
sewikibooks	0
sewikimedia	0
sgwiki	0
sgwiktionary	0
shwiki	0
shwiktionary	0
simplewiki	0
simplewikibooks	0
simplewikiquote	0
simplewiktionary	0
siwiki	0
siwikibooks	0
siwiktionary	0
skwiki	0
skwikibooks	0
skwikiquote	0
skwikisource	0
skwiktionary	0
slwiki	0
slwikibooks	0
slwikiquote	0
slwikisource	0
slwikiversity	0
slwiktionary	0
smwiki	0
smwiktionary	0
snwiki	0
snwiktionary	0
sourceswiki	0
sowiki	0
sowiktionary	0
spcomwiki	1
specieswiki	0
sqwiki	0
sqwikibooks	0
sqwikinews	0
sqwikiquote	0
sqwiktionary	0
srnwiki	0
srwiki	0
srwikibooks	0
srwikinews	0
srwikiquote	0
srwikisource	0
srwiktionary	0
sswiki	0
sswiktionary	0
stewardwiki	1
stqwiki	0
strategywiki	0
stwiki	0
stwiktionary	0
suwiki	0
suwikibooks	0
suwikiquote	0
suwiktionary	0
svwiki	0
svwikibooks	0
svwikinews	0
svwikiquote	0
svwikisource	0
svwikiversity	0
svwikivoyage	0
svwiktionary	0
swwiki	0
swwikibooks	0
swwiktionary	0
szlwiki	0
tawiki	0
tawikibooks	0
tawikinews	0
tawikiquote	0
tawikisource	0
tawiktionary	0
tcywiki	0
tenwiki	0
test2wiki	0
testwiki	0
testwikidatawiki	0
tetwiki	0
tewiki	0
tewikibooks	0
tewikiquote	0
tewikisource	0
tewiktionary	0
tgwiki	0
tgwikibooks	0
tgwiktionary	0
thwiki	0
thwikibooks	0
thwikinews	0
thwikiquote	0
thwikisource	0
thwiktionary	0
tiwiki	0
tiwiktionary	0
tkwiki	0
tkwikibooks	0
tkwikiquote	0
tkwiktionary	0
tlwiki	0
tlwikibooks	0
tlwiktionary	0
tnwiki	0
tnwiktionary	0
towiki	0
towiktionary	0
tpiwiki	0
tpiwiktionary	0
transitionteamwiki	1
trwiki	0
trwikibooks	0
trwikimedia	0
trwikinews	0
trwikiquote	0
trwikisource	0
trwiktionary	0
tswiki	0
tswiktionary	0
ttwiki	0
ttwikibooks	0
ttwikiquote	0
ttwiktionary	0
tumwiki	0
twwiki	0
twwiktionary	0
tyvwiki	0
tywiki	0
uawikimedia	0
udmwiki	0
ugwiki	0
ugwikibooks	0
ugwikiquote	0
ugwiktionary	0
ukwiki	0
ukwikibooks	0
ukwikimedia	0
ukwikinews	0
ukwikiquote	0
ukwikisource	0
ukwikivoyage	0
ukwiktionary	0
urwiki	0
urwikibooks	0
urwikiquote	0
urwiktionary	0
usabilitywiki	0
uzwiki	0
uzwikibooks	0
uzwikiquote	0
uzwiktionary	0
vecwiki	0
vecwikisource	0
vecwiktionary	0
vepwiki	0
vewiki	0
vewikimedia	0
viwiki	0
viwikibooks	0
viwikiquote	0
viwikisource	0
viwikivoyage	0
viwiktionary	0
vlswiki	0
votewiki	0
vowiki	0
vowikibooks	0
vowikiquote	0
vowiktionary	0
warwiki	0
wawiki	0
wawikibooks	0
wawiktionary	0
wg_enwiki	1
wikidatawiki	0
wikimania2005wiki	0
wikimania2006wiki	0
wikimania2007wiki	0
wikimania2008wiki	0
wikimania2009wiki	0
wikimania2010wiki	0
wikimania2011wiki	0
wikimania2012wiki	0
wikimania2013wiki	0
wikimania2014wiki	0
wikimania2015wiki	0
wikimania2016wiki	0
wikimania2017wiki	0
wikimaniateamwiki	1
wowiki	0
wowikiquote	0
wowiktionary	0
wuuwiki	0
xalwiki	0
xhwiki	0
xhwikibooks	0
xhwiktionary	0
xmfwiki	0
yiwiki	0
yiwikisource	0
yiwiktionary	0
yowiki	0
yowikibooks	0
yowiktionary	0
zawiki	0
zawikibooks	0
zawikiquote	0
zawiktionary	0
zeawiki	0
zerowiki	1
zh_classicalwiki	0
zh_min_nanwiki	0
zh_min_nanwikibooks	0
zh_min_nanwikiquote	0
zh_min_nanwikisource	0
zh_min_nanwiktionary	0
zh_yuewiki	0
zhwiki	0
zhwikibooks	0
zhwikinews	0
zhwikiquote	0
zhwikisource	0
zhwikivoyage	0
zhwiktionary	0
zuwiki	0
zuwikibooks	0
zuwiktionary	0
